title,details,link
Familial prostate cancer,Other names: Hereditary prostate cancer;  Prostate cancer;  familial;  Prostate cancer;  hereditary,diseases/4520/familial-prostate-cancer
Familial pulmonary arterial hypertension leucopenia and atrial septal defect,Other names: Familial PAH;  leucopenia and ASD;  Familial pulmonary arterial hypertension;  leucopenia and ASD,diseases/10455/familial-pulmonary-arterial-hypertension-leucopenia-and-atrial-septal-defect
Familial reactive perforating collagenosis,Other names: Inherited reactive perforating collagenosis,diseases/13331/familial-reactive-perforating-collagenosis
Familial sick sinus syndrome,Other names: Familial sinus node dysfunction,diseases/13663/familial-sick-sinus-syndrome
Familial streblodactyly,Other names: Crooked little finger;  familial;  Minor streblomicrodactyly;  familial,diseases/9448/familial-streblodactyly
Familial thoracic aortic aneurysm and aortic dissection,Other names: Annuloaortic ectasia;  Familial aortic aneurysm;  Familial aortic dissection;  Familial TAAD;  Familial thoracic aortic aneurysm;  Familial thoracic aortic aneurysm and aortic dissection,diseases/2249/familial-thoracic-aortic-aneurysm-and-aortic-dissection
Familial thyroglossal duct cyst,Other names: Hereditary thyroglossal duct cysts;  Thyroglossal duct cysts;  Thyroglossal duct cysts familial,diseases/5204/familial-thyroglossal-duct-cyst
Familial transthyretin amyloidosis,Other names: Amyloidosis Transthyretin related;  Amyloidosis;  hereditary;  transthyretin-related;  Familial amyloid polyneuropathy;  Hereditary ATTR amyloidosis;  Transthyretin amyloid neuropathy;  Transthyretin amyloid polyneuropathy;  Transthyretin amyloidosis;  TTR amyloid neuropathy,diseases/656/familial-transthyretin-amyloidosis
Familial tumoral calcinosis,,diseases/10877/familial-tumoral-calcinosis
Familial ventricular tachycardia,,diseases/2263/familial-ventricular-tachycardia
Familial visceral myopathy with external ophthalmoplegia,Other names: Intestinal pseudoobstruction with external ophthalmoplegia;  Muscular dystrophy;  oculogastrointestinal;  Oculogastrointestinal muscular dystrophy;  Visceral myopathy - familial external ophthalmoplegia;  Visceral myopathy;  familial;  with external ophthalmoplegia,diseases/5496/familial-visceral-myopathy-with-external-ophthalmoplegia
Familial Wilms tumor 2,Other names: FWT2,diseases/8559/familial-wilms-tumor-2
Familiar chronic mucocutaneous candidiasis,Other names: Chronic mucocutaneous candidiasis;  CMC;  Familial candidiasis,diseases/12313/familiar-chronic-mucocutaneous-candidiasis
Familiar or sporadic hemiplegic migraine,,diseases/10768/familiar-or-sporadic-hemiplegic-migraine
Fanconi anemia,Other names: Fanconi pancytopenia;  Fanconi's anemia,diseases/6425/fanconi-anemia
Fanconi Bickel syndrome,Other names: Fanconi syndrome with intestinal malabsorption and galactose intolerance;  GLUT2 deficiency;  Glycogen storage disease due to GLUT2 deficiency;  Glycogen storage disease XI;  Glycogenosis Fanconi type;  Hepatic glycogenosis with amino aciduria and glucosuria;  Hepatorenal glycogenosis with renal Fanconi syndrome;  Hepatorenal glycogenosis with renal fanconi syndrome;  Pseudo-Phlorizin diabetes,diseases/2268/fanconi-bickel-syndrome
Fanconi syndrome,Other names: Fanconi renotubular syndrome;  Primary Fanconi renotubular syndrome;  Primary Fanconi syndrome,diseases/9118/fanconi-syndrome
Fara Chlupackova syndrome,Other names: Familial oto-facio-cervical dysmorphia,diseases/2273/fara-chlupackova-syndrome
Farber disease,Other names: AC deficiency;  Acid ceramidase deficiency;  Ceramidase deficiency;  Farber disease;  Farber lipogranulomatosis;  N-Laurylsphingosine deacylase deficiency,diseases/6426/farber-disease
Farmer's lung,,diseases/6427/farmers-lung
Fascioliasis,,diseases/6428/fascioliasis
Fatal familial insomnia,Other names: Familial fatal insomnia;  Insomnia familial fatal,diseases/6429/fatal-familial-insomnia
Fatal infantile encephalomyopathy,,diseases/1113/fatal-infantile-encephalomyopathy
Fatty acid hydroxylase-associated neurodegeneration,Other names: FAHN;  Spastic paraplegia 35;  autosomal recessive;  SPG35,diseases/10810/fatty-acid-hydroxylase-associated-neurodegeneration
Faye-Petersen-Ward-Carey syndrome,Other names: Osteochondrodysplasia with rhizomelia;  platyspondyly;  callosal agenesis;  thrombocytopenia;  hydrocephalus;  and hypertension,diseases/2277/faye-petersen-ward-carey-syndrome
FBXL4-related encephalomyopathic mitochondrial DNA depletion syndrome,Other names: BXL4-Related Early-Onset Mitochondrial Encephalopathy;  Encephalomyopathic mitochondrial DNA depletion syndrome-13;  FBXL4 Deficiency;  Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type);  Mitochondrial DNA depletion syndrome;  encephalomyopathic form with variable craniofacial anomalies;  mtDNA depletion syndrome;  encephalomyopathic form with variable craniofacial anomalies;  MTDPS13,diseases/13298/fbxl4-related-encephalomyopathic-mitochondrial-dna-depletion-syndrome
Febrile infection-related epilepsy syndrome,Other names: Acute encephalitis with refractory repetitive partial seizures;  Acute non-herpetic encephalitis with severe refractory status epilepticus;  AERRPS;  DESC syndrome;  Devastating epileptic encephalopathy in school-aged children;  Febrile infection-related epilepsy syndrome;  Fever-induced refractory epileptic encephalopathy in school-aged children;  FIRES;  Idiopathic catastrophic epileptic encephalopathy;  Severe refractory status epilepticus owing to presumed encephalitis;  Status epilepticus owing to presumed encephalitis,diseases/11005/febrile-infection-related-epilepsy-syndrome
Febrile Ulceronecrotic Mucha-Habermann disease,Other names: A severe variant of pityriasis lichenoides et varioliformis acuta (PLEVA);  FUMHD;  Ulceronecrotic Mucha-Habermann disease;  Variant of Mucha-Habermann disease,diseases/9516/febrile-ulceronecrotic-mucha-habermann-disease
Feigenbaum Bergeron Richardson syndrome,Other names: Atherosclerosis;  premature;  with deafness;  nephropathy;  diabetes mellitus;  photomyoclonus;  and degenerative neurologic disease;  Premature atherosclerosis with photomyoclonic epilepsy;  deafness;  diabetes mellitus;  nephropathy;  and neurodegenerative disorder,diseases/2279/feigenbaum-bergeron-richardson-syndrome
Feigenbaum Bergeron syndrome,,diseases/2280/feigenbaum-bergeron-syndrome
Feingold syndrome,Other names: Brunner-Winter syndrome;  Digital anomalies with short palpebral fissures and atresia of esophagus;  or duodenum;  Microcephaly-oculo-digito-esophageal-duodenal syndrome;  MMT syndrome;  Oculodigitoesophagoduodenal syndrome;  ODED syndrome,diseases/8407/feingold-syndrome
Feingold Trainer syndrome,Other names: Unusual facies;  cleft palate;  short stature;  and mental retardation,diseases/2282/feingold-trainer-syndrome
Felty's syndrome,Other names: Familial Felty's syndrome;  Felty syndrome;  Rheumatoid arthritis;  splenomegaly and neutropenia,diseases/8234/feltys-syndrome
Femoral facial syndrome,Other names: Femoral dysgenesis;  bilateral;  Femoral hypoplasia unusual facies syndrome;  FFS;  FHUFS,diseases/61/femoral-facial-syndrome
Femur bifid with monodactylous ectrodactyly,Other names: Gollop-Wolfgang complex;  GWC,diseases/2285/femur-bifid-with-monodactylous-ectrodactyly
Femur fibula ulna syndrome,Other names: FFU syndrome,diseases/2286/femur-fibula-ulna-syndrome
Fenton Wilkinson Toselano syndrome,,diseases/2287/fenton-wilkinson-toselano-syndrome
Fertile eunuch syndrome,Other names: Eunuchoidism with spermatogenesis;  normal FSH and low or normal interstitial cell-stimulating hormone (ICSH),diseases/10127/fertile-eunuch-syndrome
Fetal akinesia deformation sequence,Other names: Arthrogryposis multiplex congenita with pulmonary hypoplasia;  FADS;  Fetal akinesia sequence;  Pena-Shokeir syndrome;  type 1,diseases/9634/fetal-akinesia-deformation-sequence
Fetal akinesia syndrome X-linked,Other names: Polyhydramnios;  hypokinesia;  brain malformations;  telecanthus;  and narrow palpebral fissures;  X-linked form of fetal akinesia syndrome,diseases/2293/fetal-akinesia-syndrome-x-linked
Fetal aminopterin syndrome,Other names: Aminopterin embryopathy syndrome;  Aminopterin fetopathy syndrome;  Aminopterin syndrome;  Fetal methotrexate syndrome,diseases/2294/fetal-aminopterin-syndrome
Fetal and neonatal alloimmune thrombocytopenia,Other names: NAIT,diseases/2295/fetal-and-neonatal-alloimmune-thrombocytopenia
Fetal brain disruption sequence,,diseases/2297/fetal-brain-disruption-sequence
Fetal cystic hygroma,Other names: Cystic hygroma fetal;  FCH;  Nuchal bleb;  familial,diseases/8564/fetal-cystic-hygroma
Fetal enterovirus syndrome,,diseases/2302/fetal-enterovirus-syndrome
Fetal hydantoin syndrome,Other names: Dilantin Embryopathy;  Phenytoin Embryopathy,diseases/6435/fetal-hydantoin-syndrome
Fetal indomethacin syndrome,Other names: Antenatal indomethacin exposure;  Indomethacin embryofetopathy,diseases/2994/fetal-indomethacin-syndrome
Fetal iodine syndrome,,diseases/2304/fetal-iodine-syndrome
Fetal left ventricular aneurysm,,diseases/2305/fetal-left-ventricular-aneurysm
Fetal macrosomia,,diseases/10155/fetal-macrosomia
Fetal methylmercury syndrome,Other names: Methyl mercury antenatal exposure;  Minamata disease,diseases/3575/fetal-methylmercury-syndrome
Fetal minoxidil syndrome,Other names: Minoxidil antenatal exposure;  Minoxidil antenatal infection,diseases/2308/fetal-minoxidil-syndrome
Fetal parainfluenza virus type 3 syndrome,,diseases/2309/fetal-parainfluenza-virus-type-3-syndrome
Fetal parvovirus syndrome,,diseases/2310/fetal-parvovirus-syndrome
Fetal phenothiazine syndrome,,diseases/2311/fetal-phenothiazine-syndrome
Fetal retinoid syndrome,Other names: Accutane fetal effects of;  Accutane-exposed pregnancies;  Acutane embryopathy;  Isotretinoin (RoAccutane) embryopathy;  Isotretinoin embryopathy;  Isotretinoin fetal effects of;  Isotretinoin teratogen syndrome,diseases/517/fetal-retinoid-syndrome
Fetal thalidomide syndrome,Other names: Thalidomide embryopathy,diseases/2313/fetal-thalidomide-syndrome
Fetal valproate syndrome,Other names: Fetal valproic acid syndrome;  FVS;  Susceptibility to valproate embryopathy;  Valproic acid embryopathy,diseases/5447/fetal-valproate-syndrome
FG syndrome,Other names: FGS;  FGS1;  Keller syndrome;  Mental retardation;  large head;  imperforate anus;  congenital hypotonia;  and partial agenesis of corpus callosum;  Opitz-Kaveggia syndrome,diseases/2317/fg-syndrome
FG syndrome 2,Other names: FGS2,diseases/9923/fg-syndrome-2
FG syndrome 3,Other names: FGS3,diseases/9924/fg-syndrome-3
Fibrillary glomerulonephritis,Other names: Congo red-negative amyloidosis-like glomerulopathy;  Non-amyloid fibrillary glomerulonephritis;  Non-amyloid fibrillary glomerulopathy,diseases/12740/fibrillary-glomerulonephritis
"Fibrinogen deficiency, congenital",Other names: Congenital fibrinogen deficiency,diseases/2320/fibrinogen-deficiency-congenital
Fibro-adipose vascular anomaly,Other names: FAVA;  Fibro adipose vascular anomaly,diseases/13104/fibro-adipose-vascular-anomaly
Fibrocartilaginous embolism,Other names: Embolism;  fibrocartilaginous,diseases/9718/fibrocartilaginous-embolism
Fibrochondrogenesis,,diseases/2321/fibrochondrogenesis
Fibrodysplasia ossificans progressiva,Other names: FOP;  Myositis ossificans progressiva;  Progressive myositis ossificans;  Progressive ossifying myositis,diseases/6445/fibrodysplasia-ossificans-progressiva
Fibrolamellar carcinoma,Other names: Eosinophilic glassy cell hepatoma;  Eosinophilic hepatocellular carcinoma with lamellar fibrosis;  FHCC;  Fibrolamellar hepatocarcinoma;  Fibrolamellar hepatocellular carcinoma;  Fibrolamellar oncocytic hepatoma;  Fibrolamellar variant of hepatocellular carcinoma;  FL-HCC;  Hepatocellular carcinoma (fibrolamellar variant);  Hepatocellular carcinoma with increased stromal fibrosis;  Polygonal cell hepatocellular carcinoma with fibrous stroma,diseases/9396/fibrolamellar-carcinoma
Fibromatosis,,diseases/6439/fibromatosis
Fibromatosis multiple non ossifying,Other names: Disseminated nonossifying fibromas in association with cafe-au-lait spots;  Jaffe Campanacci syndrome,diseases/309/fibromatosis-multiple-non-ossifying
Fibromuscular dysplasia,Other names: Fibromuscular dysplasia of arteries;  FMD,diseases/2326/fibromuscular-dysplasia
Fibrosarcoma,,diseases/2327/fibrosarcoma
Fibrosing mediastinitis,Other names: Idiopathic mediastinal fibrosis;  IgG4-related mediastinitis;  Mediastinal fibrosis;  Sclerosing mediastinitis,diseases/8337/fibrosing-mediastinitis
Fibrous dysplasia,Other names: Fibrous dysplasia of bone,diseases/6444/fibrous-dysplasia
Fibular aplasia ectrodactyly,Other names: Brachydactyly-ectrodactyly with fibular aplasia or hypoplasia,diseases/2331/fibular-aplasia-ectrodactyly
"Fibular aplasia, tibial campomelia, and oligosyndactyly syndrome",Other names: FATCO syndrome;  Fibular aplasia-tibial campomelia-oligosyndactyly syndrome;  Hecht-Scott syndrome;  Limb deficiency-heart malformation syndrome;  Terminal transverse defects of the limbs associated with congenital heart malformations,diseases/2622/fibular-aplasia-tibial-campomelia-and-oligosyndactyly-syndrome
Fibular hemimelia,Other names: Congenital longitudinal deficiency of the fibula;  Fibular longitudinal meromelia,diseases/8659/fibular-hemimelia
Fibular hypoplasia and complex brachydactyly,Other names: Du pan syndrome,diseases/9879/fibular-hypoplasia-and-complex-brachydactyly
Fibular hypoplasia scapulo pelvic dysplasia absent,,diseases/2333/fibular-hypoplasia-scapulo-pelvic-dysplasia-absent
Filippi syndrome,Other names: Syndactyly type I with microcephaly and mental retardation;  Type 1 syndactyly-microcephaly-mental retardation syndrome;  Unusual facial appearance;  microcephaly;  growth restriction;  mental retardation and syndactyly,diseases/62/filippi-syndrome
Fine-Lubinsky syndrome,Other names: Brachycephaly;  deafness;  cataract and mental retardation,diseases/958/fine-lubinsky-syndrome
Fingerprint body myopathy,,diseases/12720/fingerprint-body-myopathy
Fish-eye disease,Other names: ALPHA-LCAT deficiency;  Alpha-lecithin cholesterol acyltransferase deficiency;  Dyslipoproteinemic corneal dystrophy;  FED;  LCATA deficiency;  Partial LCAT deficiency,diseases/6450/fish-eye-disease
Fitz-Hugh-Curtis syndrome,Other names: Gonococcal perihepatitis;  Perihepatitis syndrome,diseases/6452/fitz-hugh-curtis-syndrome
Fitzsimmons syndrome,Other names: Mental retardation with spastic paraplegia and palmoplantar hyperkeratosis,diseases/2344/fitzsimmons-syndrome
Fitzsimmons Walson Mellor syndrome,Other names: Spastic paraplegia - nephritis - deafness;  Spastic paraplegia;  bilateral sensorineural deafness;  intellectual retardation;  and progressive nephropathy,diseases/2342/fitzsimmons-walson-mellor-syndrome
Fitzsimmons-Guilbert syndrome,Other names: Fitzsimmons syndrome;  Spastic paraplegia associated with brachydactyly type E,diseases/2343/fitzsimmons-guilbert-syndrome
Flat umbilicus familial,Other names: Flat umbilicus autosomal dominant,diseases/9490/flat-umbilicus-familial
Flavimonas oryzihabitans infection,Other names: F. Oryzihabitans infection;  Flavimonas oryzihabitans Bacteremia,diseases/6453/flavimonas-oryzihabitans-infection
Floating-Harbor syndrome,Other names: FHS;  Pelletier-Leisti syndrome;  Short stature with delayed bone age;  expressive language delay;  a triangular face with a prominent nose and deep-set eyes,diseases/6455/floating-harbor-syndrome
Florid cemento-osseous dysplasia,Other names: florid osseous dysplasia;  focal cemento-osseous dysplasia,diseases/10173/florid-cemento-osseous-dysplasia
Florid cystic endosalpingiosis of the uterus,Other names: Cystic endosalpingiosis of the uterus,diseases/130/florid-cystic-endosalpingiosis-of-the-uterus
Florid papillomatosis of the nipple,Other names: Erosive adenomatosis of the nipple;  Florid papillomatosis;  Papillomatosis florid of nipple,diseases/10174/florid-papillomatosis-of-the-nipple
FLOTCH syndrome,Other names: Familial occurrence of total LeukOnychia;  Trichilemmal cysts and Ciliary dystrophy with dominant autosomal Heredity,diseases/2346/flotch-syndrome
Flynn Aird syndrome,Other names: Cataracts;  retinitis pigmentosa;  sensorineural hearing loss;  ataxia;  peripheral neuritis;  epilepsy;  dementia;  skin atrophy;  chronic ulceration;  dental;  Flynn-Aird syndrome,diseases/2347/flynn-aird-syndrome
FMR1-related primary ovarian insufficiency,Other names: Familial premature ovarian failure;  FMR1-related premature ovarian failure;  Fragile X-associated primary ovarian insufficiency;  Idiopathic familial premature ovarian failure;  Premature ovarian failure 1,diseases/4480/fmr1-related-primary-ovarian-insufficiency
Focal alopecia congenital megalencephaly,,diseases/2349/focal-alopecia-congenital-megalencephaly
Focal cortical dysplasia of Taylor,Other names: CDT;  Cortical dysplasia of Taylor;  FCDT;  Focal cortical dysplasia type 2;  Focal cortical dysplasia type II,diseases/10190/focal-cortical-dysplasia-of-taylor
Focal dermal hypoplasia,Other names: DHOF;  FDH;  FODH;  Goltz Gorlin Syndrome;  Goltz Syndrome;  Goltz-Gorlin syndrome,diseases/6457/focal-dermal-hypoplasia
Focal facial dermal dysplasia,Other names: Bitemporal aplasia cutis congenita;  Brauer syndrome;  FFDD;  type 1;  Hereditary symmetrical aplastic nevi of temples,diseases/8416/focal-facial-dermal-dysplasia
Focal or multifocal malformations in neuronal migration,,diseases/2350/focal-or-multifocal-malformations-in-neuronal-migration
Focal palmoplantar and gingival keratoderma,Other names: Focal palmoplantar and oral mucosa hyperkeratosis;  Keratosis focal palmoplantar gingival,diseases/3098/focal-palmoplantar-and-gingival-keratoderma
Focal segmental glomerulosclerosis,Other names: Familial idiopathic nephrotic syndrome;  Familial idiopathic steroid-resistant nephrotic syndrome;  Focal sclerosis with hyalinosis;  FSGS;  Glomerulosclerosis;  focal;  Segmental glomerulosclerosis,diseases/6517/focal-segmental-glomerulosclerosis
Focal dystonia,Other names: Focal task specific dystonia;  FTSD,diseases/6458/focal-dystonia
Foix Chavany Marie syndrome,Other names: Congenital Foix-Chavany-Marie syndrome (subtype);  Facio-pharyngo-glossal diplegia with automatic-voluntary movement dissociation,diseases/2351/foix-chavany-marie-syndrome
"Follicle-stimulating hormone deficiency, isolated",Other names: Isolated follicle-stimulating hormone (FSH) deficiency;  Isolated FSH deficiency,diseases/10128/follicle-stimulating-hormone-deficiency-isolated
Follicular lymphoma,Other names: Lymphoma;  follicular,diseases/2356/follicular-lymphoma
Follicular lymphoreticuloma,,diseases/2357/follicular-lymphoreticuloma
Fontaine Farriaux Blanckaert syndrome,,diseases/2358/fontaine-farriaux-blanckaert-syndrome
Formaldehyde poisoning,Other names: Formaldehyde toxicity;  Formalin intoxication;  Formalin toxicity,diseases/2361/formaldehyde-poisoning
Fountain syndrome,Other names: Deafness;  skeletal dysplasia;  lip granuloma;  Intellectual disability;  deafness;  skeletal abnormalities;  coarse face with full lips,diseases/64/fountain-syndrome
Fournier gangrene,Other names: Fournier's gangrene,diseases/10912/fournier-gangrene
Fowler's syndrome,Other names: Fowler Christmas Chapple syndrome;  Polycystic ovaries urethral sphincter dysfunction;  Voiding dysfunction and polycystic ovaries,diseases/2365/fowlers-syndrome
Fox-Fordyce disease,Other names: Apocrine miliaria;  Fox-Fordyce syndrome;  Miliaria;  apocrine,diseases/6462/fox-fordyce-disease
FOXG1 syndrome,Other names: FOXG1-related disorder,diseases/12825/foxg1-syndrome
Fragile X syndrome,Other names: Fra(X) syndrome;  FRAXA syndrome;  FXS;  Marker X syndrome;  Martin-Bell syndrome;  X-linked mental retardation and macroorchidism,diseases/6464/fragile-x-syndrome
Fragile X syndrome type 1,,diseases/2366/fragile-x-syndrome-type-1
Fragile X syndrome type 2,,diseases/2367/fragile-x-syndrome-type-2
Fragile X syndrome type 3,,diseases/2368/fragile-x-syndrome-type-3
Fragile XE syndrome,Other names: Fragile site;  folic acid type;  FRAXE syndrome;  X-linked mental retardation associated with fragile site FRAXE,diseases/2378/fragile-xe-syndrome
Franceschini Vardeu Guala syndrome,,diseases/2371/franceschini-vardeu-guala-syndrome
Frank Ter Haar syndrome,Other names: Autosomal recessive Melnick-Needles syndrome (formerly);  Megalocornea;  multiple skeletal anomalies;  and developmental delay;  Ter Haar syndrome,diseases/5138/frank-ter-haar-syndrome
Fraser Jequier Chen syndrome,Other names: Chondrodysplasia;  situs inversus totalis;  cleft epiglottis and larynx;  hexadactyly of hands and feet;  pancreatic cystic dysplasia;  renal dysplasia/abs,diseases/2373/fraser-jequier-chen-syndrome
Fraser syndrome,Other names: Cryptophthalmos syndrome;  Cryptophthalmos with other malformations;  Cryptophthalmos-syndactyly syndrome;  Cyclopism;  Fraser-Francois syndrome;  Meyer-Schwickerath's syndrome;  Ulrich-Feichtiger syndrome,diseases/6465/fraser-syndrome
Frasier syndrome,,diseases/2375/frasier-syndrome
FRAXD,,diseases/2377/fraxd
Free sialic acid storage disease,Other names: Lysosomal Free Sialic Acid Storage Disorders;  N-Acetylneuraminic acid storage disease (former);  NANA storage disease (former);  Sialic acid storage disease,diseases/10870/free-sialic-acid-storage-disease
Freeman-Sheldon syndrome,Other names: Arthrogryposis distal type 2A;  Craniocarpotarsal dysplasia;  Craniocarpotarsal dystrophy;  DA2A;  Distal arthrogryposis type 2A;  FSS;  Whistling face-windmill vane hand syndrome;  Freeman-Burian syndrome,diseases/6466/freeman-sheldon-syndrome
Freiberg's disease,Other names: Freiberg's infraction;  Freiberg-Kohler syndrome;  Kohler's second disease;  Osteochondrosis of the metatarsal head;  usually the second;  Second metatarsal osteochondrosis,diseases/2380/freibergs-disease
Frenkel Russe syndrome,Other names: Retinal telangiectasia associated with hypogammaglobulinemia,diseases/2383/frenkel-russe-syndrome
Frey's syndrome,Other names: Auriculotemporal nerve syndrome;  Frey syndrome;  Gustatory sweating;  Hyperhidrosis gustatory,diseases/6467/freys-syndrome
Frias syndrome,Other names: 14q22-q23 microdeletion syndrome;  14q22q23 microdeletion syndrome;  Chromosome 14q22 deletion syndrome;  Del(14)(q22q23);  Growth deficiency;  facial anomalies;  and brachydactyly;  Monosomy 14q22-q23;  Monosomy 14q22q23,diseases/2384/frias-syndrome
Friedreich ataxia,Other names: FRDA;  Friedreich's ataxia;  Hereditary spinal ataxia;  Hereditary spinal sclerosis;  Spinocerebellar ataxia;  Friedreich,diseases/6468/friedreich-ataxia
Frints De Smet Fabry Fryns syndrome,Other names: Symbrachydactyly of the hand and foot,diseases/1680/frints-de-smet-fabry-fryns-syndrome
Frontal fibrosing alopecia,Other names: FFA,diseases/10886/frontal-fibrosing-alopecia
Fronto nasal malformation cloacal exstrophy,,diseases/2389/fronto-nasal-malformation-cloacal-exstrophy
Frontofacionasal dysplasia,Other names: FFND;  Fronto-facio-nasal  dyplasia;  Fronto-facio-nasal dysostosis;  Frontofacionasal dysostosis,diseases/2390/frontofacionasal-dysplasia
Frontometaphyseal dysplasia,,diseases/826/frontometaphyseal-dysplasia
Frontonasal dysplasia,Other names: Median cleft face syndrome;  Median cleft syndrome;  Median facial cleft syndrome,diseases/2392/frontonasal-dysplasia
Frontonasal dysplasia acromelic,,diseases/2393/frontonasal-dysplasia-acromelic
Frontonasal dysplasia Klippel Feil syndrome,,diseases/2394/frontonasal-dysplasia-klippel-feil-syndrome
Frontonasal dysplasia phocomelic upper limbs,,diseases/2395/frontonasal-dysplasia-phocomelic-upper-limbs
Frontotemporal dementia,Other names: Dementia;  frontotemporal;  with parkinsonism;  Frontotemporal dementia with parkinsonism;  Frontotemporal lobe dementia (FLDEM);  FTD;  MSTD;  Multiple system tauopathy with presenile dementia,diseases/8436/frontotemporal-dementia
"Frontotemporal dementia, ubiquitin-positive",Other names: Dementia;  hereditary dysphasic disinhibition;  HDDD,diseases/10004/frontotemporal-dementia-ubiquitin-positive
Froster-Huch syndrome,Other names: Diaphragmatic defect limb deficiency skull defect,diseases/2397/froster-huch-syndrome
"Fructose-1,6-bisphosphatase deficiency",Other names: Baker-Winegrad disease;  Fructose 1; 6 diphosphatase deficiency,diseases/2400/fructose-16-bisphosphatase-deficiency
Fryns Fabry Remans syndrome,,diseases/2407/fryns-fabry-remans-syndrome
Fryns Hofkens Fabry syndrome,Other names: Ulna hypoplasia;  Ulnar hypoplasia;  Upper limb mesomelic dysplasia,diseases/2408/fryns-hofkens-fabry-syndrome
Fryns smeets thiry syndrome,,diseases/2409/fryns-smeets-thiry-syndrome
Fryns syndrome,Other names: Diaphragmatic hernia;  abnormal face;  and distal limb anomalies;  FRNS;  Moerman Van den berghe Fryns syndrome,diseases/3699/fryns-syndrome
Fuchs endothelial corneal dystrophy,Other names: Endoepithelial corneal dystrophy;  FECD;  Late hereditary endothelial dystrophy,diseases/10018/fuchs-endothelial-corneal-dystrophy
Fuchs heterochromic iridocyclitis,Other names: FHI;  Fuchs heterochromic cyclitis;  Fuchs heterochromic uveitis,diseases/6791/fuchs-heterochromic-iridocyclitis
Fucosidosis,Other names: Alpha-l-fucosidase deficiency;  Lysosomal storage disease caused by defective alpha-L-fucosidase with accumulation of fucose in the tissues,diseases/6473/fucosidosis
Fuhrmann syndrome,Other names: Bowing of the femurs;  aplasia or hypoplasia of the fibula;  and digital anomalies;  Fibular aplasia or hypoplasia;  femoral bowing and poly-;  syn-;  and oligodactyly,diseases/2410/fuhrmann-syndrome
Fukuda Miyanomae Nakata syndrome,,diseases/2411/fukuda-miyanomae-nakata-syndrome
Fukuyama type muscular dystrophy,Other names: Cerebromuscular dystrophy;  Fukuyama type;  FCMD;  Muscular dystrophy;  congenital progressive;  with mental retardation;  Muscular dystrophy;  congenital;  Fukuyama type;  Muscular dystrophy;  congenital;  with central nervous system involvement,diseases/6475/fukuyama-type-muscular-dystrophy
Fumarase deficiency,Other names: Fumarate hydratase deficiency;  Fumaric aciduria,diseases/6476/fumarase-deficiency
Functioning pancreatic endocrine tumor,,diseases/2414/functioning-pancreatic-endocrine-tumor
"Fundus dystrophy, pseudoinflammatory, of Sorsby",Other names: Macular dystrophy;  hemorrhagic;  SFD;  Sorsby's pseudoinflammatory macular dystrophy,diseases/10511/fundus-dystrophy-pseudoinflammatory-of-sorsby
Fuqua Berkovitz syndrome,,diseases/2415/fuqua-berkovitz-syndrome
Furunculous myiasis,Other names: Furuncular myiasis,diseases/2418/furunculous-myiasis
Fused mandibular incisors,Other names: Double tooth,diseases/2419/fused-mandibular-incisors
Gait ataxia with late onset polyneuropathy syndrome,Other names: Gait disorder antibody late-age onset polyneuropathy;  Gait disorder;  autoantibody to a neural antigen;  late-age onset;  and polyneuropathy;  GALOP syndrome,diseases/13541/gait-ataxia-with-late-onset-polyneuropathy-syndrome
Galactocele,Other names: Galactocoele;  Lacteal cyst;  Lactocele,diseases/8401/galactocele
Galactokinase deficiency,Other names: Galactokinase deficiency galactosemia;  Galactosemia 2;  Galactosemia type 2;  GALK deficiency;  GALK-D;  Hereditary galactokinase deficiency,diseases/2422/galactokinase-deficiency
Galactorrhoea-Hyperprolactinaemia,Other names: Galactorrhea-Hyperprolactinemia;  Hyperprolactinaemia,diseases/8400/galactorrhoea-hyperprolactinaemia
Galactose epimerase deficiency,Other names: Epimerase deficiency galactosemia;  Galactosemia 3;  Galactosemia type 3;  GALE deficiency;  GALE-D;  UDP-Galactose-4-epimerase deficiency;  Uridine diphosphate galactose-4-epimerase deficiency,diseases/5392/galactose-epimerase-deficiency
Galactosemia,,diseases/2424/galactosemia
Galactosialidosis,Other names: Cathepsin A deficiency of;  Goldberg syndrome;  GSL;  Lysosomal protective protein deficiency of;  Neuraminidase deficiency with beta-galactosidase deficiency;  Neuraminidase/beta-galactosidase expression;  PPCA deficiency;  Protective protein/Cathepsin A deficiency,diseases/3953/galactosialidosis
Gallbladder cancer,,diseases/9328/gallbladder-cancer
Galloway-Mowat syndrome,Other names: Galloway Mowat syndrome;  Galloway syndrome;  Hiatal Hernia-Microcephaly-Nephrosis;  Galloway Type;  Microcephaly nephrosis syndrome;  Microcephaly;  hiatal hernia;  and nephrotic syndrome;  Nephrosis neuronal dysmigration syndrome,diseases/65/galloway-mowat-syndrome
Game Friedman Paradice syndrome,Other names: Hydrocephalus with associated malformations;  Retarded growth;  hydrocephalus;  micrognathia;  intestinal malrotation;  omphalocele;  short lower limbs and foot deformities,diseases/2427/game-friedman-paradice-syndrome
Gamma aminobutyric acid transaminase deficiency,Other names: 4 alpha aminobutyrate transaminase deficiency;  ABAT;  GABA transaminase deficiency;  GABAT;  Gamma aminobutyrate transaminase deficiency,diseases/194/gamma-aminobutyric-acid-transaminase-deficiency
